source_file,category,category_label,type_id,type_label,type_count,instance_index,hidden,description,label
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,8,false,ARIA expanded 8,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,9,false,ARIA expanded 9,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,10,false,ARIA expanded 10,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,11,false,ARIA expanded 11,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,12,false,ARIA expanded 12,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,13,false,ARIA expanded 13,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,14,false,ARIA expanded 14,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,15,false,ARIA expanded 15,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,16,false,ARIA expanded 16,ARIA expanded
wave-example-2.html,aria,ARIA,aria_expanded,ARIA expanded,17,17,false,ARIA expanded 17,ARIA expanded
