source_file,category,category_label,type_id,type_label,type_count,wcag_criteria,wcag_level,pour_dimensions,sr_relevance,instance_index,hidden,description,label
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,7,false,Heading level 3 7,Heading level 3
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,8,false,Heading level 3 8,Heading level 3
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,9,false,Heading level 3 9,Heading level 3
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,10,true,Heading level 3 10,Heading level 3
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,11,false,Heading level 3 11,Heading level 3
1-Ibge.html,structure,Structural Elements,h3,Heading level 3,12,1.3.1,A,Perceivable,positive,12,false,Heading level 3 12,Heading level 3
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,1,false,Heading level 6 1,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,2,false,Heading level 6 2,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,3,false,Heading level 6 3,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,4,false,Heading level 6 4,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,5,false,Heading level 6 5,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,6,false,Heading level 6 6,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,7,false,Heading level 6 7,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,8,false,Heading level 6 8,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,9,false,Heading level 6 9,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,10,false,Heading level 6 10,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,11,false,Heading level 6 11,Heading level 6
1-Ibge.html,structure,Structural Elements,h6,Heading level 6,12,1.3.1,A,Perceivable,positive,12,false,Heading level 6 12,Heading level 6
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,1,false,Unordered list 1,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,2,false,Unordered list 2,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,3,true,Unordered list 3,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,4,true,Unordered list 4,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,5,true,Unordered list 5,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,6,true,Unordered list 6,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,7,true,Unordered list 7,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,8,true,Unordered list 8,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,9,true,Unordered list 9,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,10,true,Unordered list 10,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,11,true,Unordered list 11,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,12,true,Unordered list 12,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,13,true,Unordered list 13,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,14,true,Unordered list 14,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,15,true,Unordered list 15,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,16,true,Unordered list 16,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,17,true,Unordered list 17,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,18,true,Unordered list 18,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,19,true,Unordered list 19,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,20,true,Unordered list 20,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,21,true,Unordered list 21,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,22,true,Unordered list 22,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,23,true,Unordered list 23,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,24,true,Unordered list 24,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,25,false,Unordered list 25,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,26,true,Unordered list 26,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,27,false,Unordered list 27,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,28,false,Unordered list 28,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,29,false,Unordered list 29,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,30,false,Unordered list 30,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,31,false,Unordered list 31,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,32,false,Unordered list 32,Unordered list
1-Ibge.html,structure,Structural Elements,ul,Unordered list,33,1.3.1,A,Perceivable,positive,33,true,Unordered list 33,Unordered list
1-Ibge.html,structure,Structural Elements,iframe,Inline frame,1,4.1.2,A,Robust,informational,1,false,Inline frame 1,Inline frame
1-Ibge.html,structure,Structural Elements,header,Header,1,1.3.1;2.4.1,A,Perceivable;Operable,positive,1,false,Header 1,Header
1-Ibge.html,structure,Structural Elements,nav,Navigation,2,1.3.1;2.4.1,A,Perceivable;Operable,positive,1,false,Navigation 1,Navigation
1-Ibge.html,structure,Structural Elements,nav,Navigation,2,1.3.1;2.4.1,A,Perceivable;Operable,positive,2,true,Navigation 2,Navigation
1-Ibge.html,structure,Structural Elements,main,Main content,1,1.3.1;2.4.1,A,Perceivable;Operable,positive,1,false,Main content 1,Main content
1-Ibge.html,structure,Structural Elements,footer,Footer,1,1.3.1,A,Perceivable,positive,1,false,Footer 1,Footer
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,1,false,ARIA 1,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,2,false,ARIA 2,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,3,false,ARIA 3,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,4,false,ARIA 4,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,5,false,ARIA 5,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,6,false,ARIA 6,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,7,false,ARIA 7,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,8,false,ARIA 8,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,9,false,ARIA 9,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,10,false,ARIA 10,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,11,false,ARIA 11,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,12,false,ARIA 12,ARIA
1-Ibge.html,aria,ARIA,aria,ARIA,27,4.1.2,A,Robust,informational,13,false,ARIA 13,ARIA
